white	black			average	stdev	stderr				
0.24188666	0.7581134									
0.252199	0.74780107									
0.30697283	0.69302714									
0.3320899	0.6679101									
0.29480475	0.70519525									
0.39335874	0.60664123									
0.21730955	0.78269047									
0.64618766	0.35381234									
0.64682657	0.35317343									
0.43044657	0.56955343									
0.43023574	0.5697643									
0.4551678	0.54483217									
0.28341886	0.7165811									
0.56678605	0.43321395									
0.46216574	0.5378343									
0.38083106	0.619169									
0.41383845	0.58616155									
0.5969769	0.4030231									
0.6167495	0.38325045									
0.40643078	0.59356916									
0.45844612	0.5415539									
0.52578986	0.47421014									
0.5988175	0.40118256									
0.4456234	0.5543766									
0.4641039	0.53589606									
0.3613661	0.6386339									
0.29100612	0.7089939									
0.20700143	0.79299855									
0.48391563	0.5160844									
0.42783225	0.57216775									
0.3125802	0.6874199									
0.61646336	0.38353658									
0.6676637	0.33233634									
0.7028067	0.2971933									
0.43225574	0.5677442									
0.32030317	0.6796968									
0.32893682	0.6710632									
0.40907884	0.59092116									
0.39432526	0.60567474									
0.33386022	0.6661398									
